type	by	post_message	picture	post_published	post_published_alt	likes	comments	shares	comment_likes	engagement
link	page_433933910015784		http://external.ak.fbcdn.net/safe_image.php?d=AQCQakeoaj6BRw3P&w=154&h=154&url=http%3A%2F%2Fthearccompany.com%2Fwp-content%2Fuploads%2F2013%2F04%2FFrank-Chimero-empathy.jpg	2013-04-19T14:57:45+0000	2013-04-19 16:57:45	2	0	0	0	2
link	page_433933910015784		http://external.ak.fbcdn.net/safe_image.php?d=AQBQVzeijF01kOV_&w=154&h=154&url=http%3A%2F%2Fwww.entrepreneur.com%2Fdbimages%2Farticle%2Fh1%2Fsmall-companies-big-hearts-leading-social-entrepreneurs.jpg	2013-04-19T14:42:46+0000	2013-04-19 16:42:46	0	0	0	0	0
video	page_433933910015784	EN I was so inspired by this video clip. Though it was about Climate Change_ I imagined a global day for solidarity economy.....Hmmmmm.  ES Yo estaba tan inspirado por este video. Aunque se trataba de Cambio Climático_ que imaginaba un día mundial para la economía solidaria....Hmmmmmm. FR J_ai été tellement inspiré par ce clip vidéo. Bien qu_il ait été sur le changement climatique_ j_ai imaginé une journée mondiale pour l_économie solidaire...hmmmmmm	http://external.ak.fbcdn.net/safe_image.php?d=AQDPpbt8sNFqtv8t&w=130&h=130&url=http%3A%2F%2Fi4.ytimg.com%2Fvi%2Fs1cG_T0s280%2Fmaxresdefault.jpg%3Ffeature%3Dog	2013-04-19T14:42:01+0000	2013-04-19 16:42:01	0	1	0	1	2
video	page_433933910015784		http://external.ak.fbcdn.net/safe_image.php?d=AQAfddFphRyomi-g&w=130&h=130&url=http%3A%2F%2Fi3.ytimg.com%2Fvi%2FJ7EC7b0fR2Y%2Fmaxresdefault.jpg%3Ffeature%3Dog	2013-04-19T14:31:38+0000	2013-04-19 16:31:38	0	0	0	0	0
photo	page_433933910015784	At our Family Day for social enterprises_ we revealed an infographic that shares the preliminary findings of the Malaysian National Census of Social Enterprises.  We would love to get to know more for our research... It would help us to understand further and implement the type of support and assistance our Malaysian social enterprises could benefit from!	http://photos-a.ak.fbcdn.net/hphotos-ak-ash3/21160_486620198058830_480301169_s.jpg	2013-04-19T14:28:53+0000	2013-04-19 16:28:53	5	1	0	0	6
photo	page_433933910015784	English / Français    _It would be a very naïve attitude to wait until the ruling classes should develop a way of education to allow the ruled classes to notice social injustices in a critical way..._ (Paulo Freire)    _Il serait une attitute très naïve d_attendre jusqu_au temps où les classes dominantes développent une façon d_éducation qui permettent aux classes dominées à percevoir les injustices sociales d_une façon critique..._ (Paulo Freire)	http://photos-c.ak.fbcdn.net/hphotos-ak-prn1/558944_452107361531772_1689374080_s.jpg	2013-04-19T09:15:01+0000	2013-04-19 11:15:01	4	2	0	1	7
video	page_433933910015784	A second look at the environment of solidarity economy....Do the Math!	http://external.ak.fbcdn.net/safe_image.php?d=AQCrxoJbNpmMRqZU&w=130&h=130&url=http%3A%2F%2Fi2.ytimg.com%2Fvi%2F-zfinOCgRQ0%2Fhqdefault.jpg%3Ffeature%3Dog	2013-04-19T01:08:06+0000	2013-04-19 03:08:06	1	0	0	0	1
link	page_433933910015784	English (Português e espanhol nos comentários)  An article on social currencies in Brazil.	http://external.ak.fbcdn.net/safe_image.php?d=AQDNMu-cBTngj5xz&w=154&h=154&url=http%3A%2F%2Finfosurhoy.com%2Fcocoon%2Fsaii%2Fimages%2F2013%2F04%2F04%2Fphoto3AHP.jpg	2013-04-18T20:11:46+0000	2013-04-18 22:11:46	3	3	0	0	6
link	page_433933910015784	If you are available....	http://external.ak.fbcdn.net/safe_image.php?d=AQCuCNTo6OSJL9ZM&w=154&h=154&url=http%3A%2F%2Fwww.startingbloc.org%2Fsblogo.jpg	2013-04-18T10:12:24+0000	2013-04-18 12:12:24	0	0	0	0	0
photo	page_433933910015784	A whisper from South Africa...How to finance social enterprises....	http://photos-d.ak.fbcdn.net/hphotos-ak-ash3/552919_451711044904737_972152519_s.png	2013-04-18T10:04:07+0000	2013-04-18 12:04:07	9	6	5	0	20
photo	page_433933910015784		http://photos-c.ak.fbcdn.net/hphotos-ak-ash3/537403_262438773892919_1861596582_s.jpg	2013-04-18T01:46:14+0000	2013-04-18 03:46:14	3	0	1	0	4
video	page_433933910015784	The sharing economy....a new lens for the consumers in a solidarity economy....	http://external.ak.fbcdn.net/safe_image.php?d=AQBQ2Ocu9H30hB6T&w=130&h=130&url=http%3A%2F%2Fi2.ytimg.com%2Fvi%2FIg31ELGDJ0Q%2Fmaxresdefault.jpg%3Ffeature%3Dog	2013-04-17T14:31:36+0000	2013-04-17 16:31:36	0	2	0	0	2
link	page_433933910015784		http://external.ak.fbcdn.net/safe_image.php?d=AQBu-yVvuvYP6cwP&w=154&h=154&url=http%3A%2F%2Fwww.socialbrite.org%2Fwp-content%2Fuploads%2F2013%2F04%2Fntccrowd.jpg	2013-04-17T05:07:20+0000	2013-04-17 07:07:20	0	0	0	0	0
link	page_433933910015784	The Brazilian Government Is Doing A Startup Program Too_ And They’re Putting A Call Out For Entries!	http://external.ak.fbcdn.net/safe_image.php?d=AQAp5L-4GXL9Bvln&w=154&h=154&url=http%3A%2F%2Ftctechcrunch2011.files.wordpress.com%2F2013%2F04%2Fbrazil.jpg%3Fw%3D300	2013-04-17T04:36:14+0000	2013-04-17 06:36:14	0	0	0	0	0
link	page_433933910015784		http://external.ak.fbcdn.net/safe_image.php?d=AQCTzZaumYm0k9Qo&w=154&h=154&url=http%3A%2F%2Fapi.ning.com%2Ffiles%2FJxV1KY1z0zDXH76F8eWPh4ZXT%2AvubG2vLC9yKXro3SY78491V9P5PqMloqZjMVWJSIv6pAv5nL44Dvi3f8xotmvOMOO7PpuA%2FSocialEntrepreneurs_and_Intrapreneurs_sidebanner_discussion.jpg	2013-04-17T01:01:33+0000	2013-04-17 03:01:33	0	0	0	0	0
link	page_433933910015784		http://external.ak.fbcdn.net/safe_image.php?d=AQCHJkSVY-0m-wp_&w=154&h=154&url=http%3A%2F%2Fcress-bourgogne.org%2Fsites%2Fdefault%2Fthemes%2Fcress%2Flogo.png	2013-04-16T03:54:08+0000	2013-04-16 05:54:08	1	0	1	0	2
photo	page_433933910015784	FEIRA NACIONAL DE ARTESANATO  Pesquisa encomendada pelo Instituto Centro de Capacitação e Apoio ao Empreendedor (ICCAPE) ao Instituto Vox Populi_ ouviu mais de 6.700 artesãos e mostra que a região Sudeste é a mais representada na Feira. Também predomina a mão-de-obra feminina e aumentou o o nível de escolaridade dos artesãos. Acesse o fnaonline.com.br e faça um passeio virtual pela 23ª FNA.	http://photos-e.ak.fbcdn.net/hphotos-ak-prn1/13982_466013703479514_1448319885_s.jpg	2013-04-16T01:19:17+0000	2013-04-16 03:19:17	1	0	0	0	1
photo	page_433933910015784	Research based legal framework of social enterprises in South Africa....	http://photos-c.ak.fbcdn.net/hphotos-ak-ash3/560243_450912684984573_1750024048_s.png	2013-04-16T00:34:04+0000	2013-04-16 02:34:04	1	1	1	0	3
link	page_433933910015784		http://external.ak.fbcdn.net/safe_image.php?d=AQCdr-nXEVcbIvZj&w=154&h=154&url=http%3A%2F%2Fwww.unrisd.org%2Funrisd%2Fwebsite%2Fnewsview.nsf%2F54963870bfa2f33f80256b56005e750d%2Fb94ef7a4f4e8382bc1257b49002c2403%2FenDescription%2F0.356A%3FOpenElement%26FieldElemFormat%3Dgif	2013-04-15T23:36:27+0000	2013-04-16 01:36:27	0	0	1	0	1
link	user	What is social solidarity economy (SSE)? How do you measure and evaluate this new economic system? I_d very much like to learn from your own work.	http://external.ak.fbcdn.net/safe_image.php?d=AQCdr-nXEVcbIvZj&w=154&h=154&url=http%3A%2F%2Fwww.unrisd.org%2Funrisd%2Fwebsite%2Fnewsview.nsf%2F54963870bfa2f33f80256b56005e750d%2Fb94ef7a4f4e8382bc1257b49002c2403%2FenDescription%2F0.356A%3FOpenElement%26FieldElemFormat%3Dgif	2013-04-15T14:16:28+0000	2013-04-15 16:16:28	0	0	0	0	0
link	page_433933910015784			2013-04-15T08:35:58+0000	2013-04-15 10:35:58	0	0	0	0	0
video	page_433933910015784	Tomorrow_s companies will be _movements._ Shloudn_t social enterprises be??? A short movie about the possibility of movement leadership.	http://external.ak.fbcdn.net/safe_image.php?d=AQANqrxZRDLqfUrO&w=130&h=130&url=http%3A%2F%2Fi3.ytimg.com%2Fvi%2F2ixgFY74M1Q%2Fmqdefault.jpg%3Ffeature%3Dog	2013-04-15T01:56:20+0000	2013-04-15 03:56:20	0	0	4	0	4
link	page_433933910015784	Poorest Filipinos are in farming and fishing...		2013-04-15T01:37:26+0000	2013-04-15 03:37:26	0	0	0	0	0
