id	type	message	created_time	comments	likes	commentsandlikes
222540354541008_305679386227104	photo	A VERDADE DÓI... MAS LIBERTA!____Sempre é tempo de mudar...	2013-03-24T23:02:52+0000	0	0	0
222540354541008_304484076346635	photo	Ministro quer Reforma Política____O Ministro da Justiça_ Cardoso_ na posse da nova Diretoria da OAB_ declarou que o sistema politico vigente gera corrupção e sugeriu uma Reforma Politica. Com certeza_ Ministro_ que esse regime de Representação Politica contém vícios que conduzem á corrupção. Falar em Reforma Politica pensando em melhorar tal regime é uma utopia_ porque não podemos pensar em aperfeiçoar algo que não é uma democracia. O regime de representação é uma oligarquia eletiva e moderada_ jamais uma democracia.. O que se fizer em suas instituições e regras somente estará beneficiando privilégios. A verdadeira Reforma Politica é aquela que seja direcionada à democracia. Esta existe quando todos os cidadãos possam participar efetivamente das decisões nacionais e exercer o controle sobre os detentores dos poderes. Podemos falar em Reforma Politica por exemplo quando foi instituído o recall americano que visou o controle dos parlamentares pelos cidadãos. Outra medida em prol da democracia_ foi a instituição do referendo na Suíça e na Islândia_ que se objetivou a participação direta dos cidadãos em alguns assuntos do país. Mudanças que apenas revigore a representação são paliativos e não constroem em favor da Sociedade.	2013-03-22T14:32:37+0000	1	1	2
222540354541008_304429283018781	photo	VISITEM O _PANTANAL RECIFENSE__ _Esse novo “ponto turístico” mostrado nas fotos fica na Rua Dr. João Asfora_ no bairro da Ilha do Leite_ na região central da capital pernambucana_ exatamente em frente ao número 116_ onde funciona o restaurante “Estação da Gula”.__ Pela coloração esverdeada da água podre e fedida que se acumula ao longo da calçada_ começo a desconfiar que exista alguém “lavando dólares” nas imediações...	2013-03-22T11:54:47+0000	1	0	1
222540354541008_304137396381303	photo		2013-03-21T22:12:50+0000	0	0	0
222540354541008_304119343049775	photo	QUEM PERGUNTA QUER SABER!	2013-03-21T21:13:35+0000	0	0	0
222540354541008_304114226383620	photo	SILÊNCIO! CUIDADO PARA NÃO INCOMODAR O _CUMPANHÊRO_...	2013-03-21T20:51:36+0000	0	0	0
222540354541008_303934863068223	photo	ATÉ QUANDO O FUTEBOL BRASILEIRO CONTINUARÁ SENDO O “PARAÍSO DA MALANDRAGEM”?__ __Não sei se o mais deprimente é ver o presidente do “Sport Club do Recife”_ Luciano Bivar_ inventando “lorotas” para justificar o fato de ter afirmado à imprensa que havia dado propina para que um jogador do seu clube fosse convocado para a Seleção Brasileira_ ou se ter de aturar o auditor do Superior Tribunal de Justiça Desportiva (STJD)_ claramente desrespeitado com aquele “monte de abobrinhas”_ dando a entender que está quase convencido de que esse _negócio_ de pagar propina para garantir a indevida convocação de jogadores é _lenda_.__ __Aliás_ na esfarrapada desculpa de Luciano Bivar_ ele alega que “apenas” teria apelado para os serviços de um “lobista esportivo”_ o que poderia_ se houvesse seriedade de propósitos_ fazer com que o STJD aproveitasse a oportunidade para “colocar em pratos limpos” essa reiterada desconfiança de que CBF possa ser “sensível” ao trabalho de empresários e “cartolas de clubes de futebol”_ interessados em usar a Seleção Brasileira como forma de ganhar dinheiro com a “valorização artificial” de jogadores sabidamente “medianos”.	2013-03-21T11:23:16+0000	0	0	0
222540354541008_303711199757256	photo	ELA ERA MESMO COMUNISTA? SOCIALISTA? TRABALHISTA ? TERRORISTA ??????__HAHAHAHHAHAHHAHAHAH__A maluca só passeia para conhecer o mundo às nossas custas_ gastando para mostrar riqueza... Para governar tem o desgoverno.... Enquanto isso_ por aqui_ que se dane (para ela_ a maluca) se as verbas chegam ou não ás fronteiras da desgraça e da pobreza... Os seus nomeados e os comprados pelo mensalão_ fazem o trabalho sujo para que ela viaje... Um dia a casa cai... Isto é_ o avião cai...	2013-03-21T02:19:36+0000	0	0	0
222540354541008_303499643111745	photo	A VERDADE DÓI... MAS LIBERTA!__ ___QUEM COMPRA DROGAS_ FINANCIA O CRIME ORGANIZADO; QUEM PAGA IMPOSTO TAMBÉM!_	2013-03-20T21:37:04+0000	0	0	0
222540354541008_303339799794396	photo	As vítimas das chuvas no Rio de Janeiro foram_ em última análise_ mortas pela incompetência_ irresponsabilidade_ desonestidade e/ou pouco caso dos gestores públicos_ em todos os níveis.__Em um país minimamente decente_ essa cambada (DE CABO A RABO) estaria sujeita a responder por seus crimes diante da Justiça	2013-03-20T11:58:58+0000	0	0	0
222540354541008_303323466462696	photo	EX-SENADORA HELOÍSA HELENA : LULA É UM GANGSTER!!!__ __Declaração de quem viveu no _covil_ e fala com conhecimento de causa...	2013-03-20T10:31:06+0000	0	0	0
222540354541008_302500506544992	photo		2013-03-18T14:05:21+0000	0	0	0
222540354541008_302483079880068	photo	Novo Papa__Qual o regime politico do Vaticano ?____O Vaticano é regido por uma Monarquia eletiva e absoluta. O governante é eleito por uma corte nobre e seletiva e exerce o governo com poderes absolutos_ podendo decidir pessoalmente sobre qualquer assunto e da maneira que quiser. Muitos_ porém_ pensam que pouco importa se for uma democracia ou uma monarquia_ pois o Papa vive apenas de orações e benções_ sempre ouvindo doutos cardeais; além do mais_ seus atos tem inspiração divina. Ledo engano. Não obstante o Vaticano seja o menor Estado do mundo_ o Papa domina mais de 1 bilhão de pessoas (fiéis da Igreja). Um simples gesto ou atitude que faça pode significar consideráveis consequências na humanidade. O seu poder ditatorial de excomunhão pode provocar a derrubada de governos tirânicos e desumanos_ ou a extinção de entidades perniciosas. Por exemplo_ o horroroso comercio de armas bélicas pode ser reduzido ou até mesmo tornado ilegal se houvesse uma decisão combativa do Papa. Para alguns estudiosos_ o silencio do Papa a respeito é comprometedor. Num governo de todos_ acredito que invalidaria a influencia de poderosas industrias de armamento_ mesmo que sejam aquelas que proporcionam milionários donativos aos religiosos. Se o regime fosse de uma democracia_ certamente muitas questões seculares_ adstritas exclusivamente à Igreja_ como o sacerdócio feminino_ o casamento dos padres_ etc. já estariam resolvidas.	2013-03-18T12:56:24+0000	1	1	2
222540354541008_302130416582001	video	BBB 13 -> ENTREVISTA CENSURADA__Cidadão critica o _BBB 13_ durante entrevista e discute com repórter da Globo.__Está sendo bastante comentado nas redes sociais um vídeo em que o repórter especial do “Big Brother Brasil”_ Vinícius Valverde_ entrevista um cidadão comum_ que ao dar a sua opinião pessoal sobre o reality global_ por estar em desacordo com o que o repórter queria ouvir_ é alvo de inúmeras tentativas de ser ridicularizado. __O episódio aconteceu durante as tradicionais reportagens que o jornalista faz nas ruas do Rio de Janeiro_ para serem exibidas nos intervalos comerciais da Globo.__Obviamente a tal crítica não foi ao ar_ mas vazou na internet graças a um transeunte que filmou tudo com o seu celular.__Abra o link abaixo e assista o vídeo que está no YouTube.	2013-03-17T12:51:38+0000	1	2	3
222540354541008_302159439912432	video	UM IPAD NUNCA SUSTITUIRÁ TOTALMENTE O USO DO PAPEL	2013-03-17T14:36:35+0000	0	0	0
222540354541008_302129259915450	video	BBB 13 -> ENTREVISTA CENSURADA__Cidadão critica o _BBB 13_ durante entrevista e discute com repórter da Globo.__Está sendo bastante comentado nas redes sociais um vídeo em que o repórter especial do “Big Brother Brasil”_ Vinícius Valverde_ entrevista um cidadão comum_ que ao dar a sua opinião pessoal sobre o reality global_ por estar em desacordo com o que o repórter queria ouvir_ é alvo de inúmeras tentativas de ser ridicularizado. __O episódio aconteceu durante as tradicionais reportagens que o jornalista faz nas ruas do Rio de Janeiro_ para serem exibidas nos intervalos comerciais da Globo.__Obviamente a tal crítica não foi ao ar_ mas vazou na internet graças a um transeunte que filmou tudo com o seu celular.__Abra o link abaixo e assista o vídeo que está no YouTube.	2013-03-17T12:48:19+0000	0	0	0
222540354541008_302128703248839	photo	O PRIMEIRO _MILAGRE_ DO PAPA!__ __Tão logo assumiu seu cargo no Vaticano_ Chiquinho já conseguiu o milagre de apresentar ao mundo a impensável figura de um argentino humilde...	2013-03-17T12:47:32+0000	0	0	0
222540354541008_302127429915633	photo		2013-03-17T12:41:54+0000	0	0	0
222540354541008_300740230054353	photo	ADAPTAÇÕES MERCADOLÓGICAS__ __Mais uma tentativa para modernizar da “prostituição profissional”_ um mercado fortemente abalado pela desleal concorrência das “prostitutas amadoras”...	2013-03-14T11:29:16+0000	0	0	0
222540354541008_300514246743618	photo	RECIFE: MUDOU O PREFEITO_ MAS A _ZONA_ CONTINUA A MESMA!__As fotos anexas registram uma “lanchonete informal” instalada em plena Rua da Conceição_ quase na esquina com a Rua Gervásio Pires_ no bairro da Boa Vista_ em pleno centro do Recife_ ocupando uma extensa área de “Zona Azul”_ tomando as vagas de estacionamento de pelo menos três veículos.__Trata-se de um flagrante da “esculhambação generalizada” na qual vem sendo transformada a capital de Pernambuco_ graças ao pouco caso dos administradores públicos em relação a cidade.__Pela localização do fato_ exatamente em frente ao Cartório da Boa Vista_ é impossível que as “otoridades” não ainda não tenham percebido a “muvuca”.__Se o “vuco vuco” ainda está funcionando_ mesmo com toda a falta de higiene que caracteriza o “empreendimento”_ é porque tem funcionários da municipalidade que_ sabe-se lá por qual motivo_ insistem em fazer “vistas grossas” para esses tipos de desmandos.	2013-03-13T22:06:28+0000	0	0	0
222540354541008_299978460130530	link	HOJE NO HORA DA CORUJA O ASSUNTO É _MULHERES_. NÃO É FEMINISMO NÃO. É A FILOSOFIA ABORDANDO O TEMA _MULHERES_ POR VÁRIOS ÂNGULOS_ SEM MILITÂNCIA. Venha_ pois vai servir para todas as áreas do conhecimento. JUST TV http://justtv.com.br	2013-03-12T14:45:24+0000	0	0	0
222540354541008_299922770136099	photo	A VERDADE DÓI... MAS LIBERTA!__Sempre é tempo de mudar...	2013-03-12T11:48:58+0000	0	0	0
222540354541008_299913036803739	photo	DECIFRADO O MISTÉRIO DA EXTINÇÃO DOS DINOSSAUROS..._ _Perderam a Arca!	2013-03-12T11:27:36+0000	0	0	0
222540354541008_299671453494564	video	Um video que resume tudo:	2013-03-11T19:31:58+0000	0	3	3
222540354541008_299407350187641	status	Não desistam !	2013-03-11T05:18:44+0000	0	2	2
222540354541008_292926207502422	link	_“tirar os políticos profissionais de cena”. A prazo_ o Movimento tenciona… dissolver-se. Nas palavras de Beppe Grillo_ o objetivo é deixar de funcionar como “movimento” e colocar no Parlamento italiano cidadãos que sendo “o Estado”_ dispensarão os Partidos_ cidadãos eleitos em primárias on-line._	2013-02-25T21:39:53+0000	2	1	3
222540354541008_298724200255956	photo	VELÓRIO DE CHÁVEZ!	2013-03-09T22:02:28+0000	0	0	0
222540354541008_298687423592967	photo	COISAS DESSE BRASIL PETRALHA!_ _O PT é como se fosse uma enorme _fossa séptica_._ Quando mais mexe_ mais fede!	2013-03-09T19:56:34+0000	0	0	0
222540354541008_298657880262588	photo		2013-03-09T18:33:09+0000	0	0	0
222540354541008_298281166966926	link	HUUUMMM! SERÁ QUE AINDA TEM MUITO _CHORUME_ PARA SAIR DESSE LIXÃO?__Afinal_ quem paga pare ter jogador convocado para a seleção_ bem que poderia ter pago por _otras cositas más_...__Será que não está na hora do Ministério Público vasculhar essa _mundiça_?	2013-03-08T21:51:05+0000	0	0	0
222540354541008_298263876968655	link	E AÍ. CBF? VAI FICAR POR ISSO MESMO?__Afinal_ o _homem_ está confessando a mutretagem...__Será que não seria o caso de _levantar o tapete__ para expor toda a podridão que ao longo dos anos vem sendo colocada debaixo dele?	2013-03-08T21:07:44+0000	0	0	0
